agency_name,unique_id,user_code,post_url,post_topic,comment_text,comment_timestamp,sentiment_label,year
DOLE,CMT006,U0006,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,"requesting for: emergency assistance/ cash assistancedear, sir/madammagandang araw po bakit po kaya hanggang ngayon masama pa rin ang loob sa akin ng dole cavite provincial office kasi po hanggang ngayon di po nila ako tinutulungan kahit pinansyal na support para sa aking pag-aaral. nakakasama lang ng loob kasi po wala naman ako malaking nagawang pagkakamali noong ako ay gip pa that time during my gip days di ako aware noon sa nagawa ko, first time ko lang magka trabaho sa government. sana naman matulungan nila ako kahit di na ako makabalik sa kanilang opisina sa dole cavite provincial office, kahit tulong pinansyal lang para sa aking pag-aaral at sa aking magulang na nakatakdang operahan, ayoko na po mahinto ulit sa pag-aaral ko baka po makagawa ako ng hindi mabuti sana po palipasin na nila yung sama ng loob sa akin ng dole cavite at ng kanilang oic kala ko ba ang dole tumutulong sa mga mahihirap na kagaya namin kahit sampung libo lang po para sa pang tuition fee ko at pang enrollment humihingi po ako ulit ng tulong sa inyo sana kahit pinansyal support na pera kahit di na po ako maging gip ulit sa kanila ipasok niyo na lang ako sa ibang government na nangangailangan ng mga kagaya ko na walang wala sa buhay mahirap lang kami di sapat ang kinikita ng mga magulang ko sa pagiging sidewalk vendor kaysa gumawa ng mali naiinggit nga po ako sa iba may trabaho sila pero ako wala para lang sa aking pag-aaral upang makapagtapos ako mahirap maghanap ng trabaho ngayon pandemya, dahil maraming hinihinging requirements tapos di ko pa sigurado kung matatanggap ako sa trabaho papasukan ko kung alam niyo lang po sobrang hirap maghanap ng trabaho kung kayo ang nasa kalagayan ko wala ako pera pang requirements sana po tulungan niyo ako ulit kahit di na ako makabalik sa opisina dahil alam ko may sama pa rin kayo ng loob sa akin.maraming salamat at mabuhay kayo.sana naman mapansin niyo itong email ko sa inyo nagmamakaawa na po ako sa inyo dole cavite at kahit sa ibang government office dito sa cavite wala naman tumutulong sa akin ngayon may pandemya.😥😭🙏😭🙏narito ang aking detalye:name: haron r. umparage:  yrs. oldaddress:  me i. mangubat street, barangay zone iv - aguinaldo highway dasmariñas city, caviteschool: national college of science and technologycourse: bachelor of secondary education major in filipinoyear level: second year collegeschedule of enrollment: february , : second semesterformer dole - gip                                           ",2022-02-02 21:10:00,2022.0,Positive
DOLE,CMT007,U0007,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,uodated pa po ba yan ?,2022-02-07 21:50:00,2022.0,Negative
DOLE,CMT008,U0008,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,bakit po may gip na sa manila pero sa cavite wala pa daw po,2022-02-03 13:54:00,2022.0,Negative
DOLE,CMT009,U0009,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,ung sa ofw bgay nyo muna unhin nyo kme!!,2022-01-28 23:45:00,2022.0,Positive
DOLE,CMT010,U0010,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,gif: sleep quarter moon,2022-01-29 14:41:00,2022.0,Negative
DOLE,CMT011,U0011,https://www.facebook.com/dole.centralluzon/posts/pfbid0F1apZb5sdbUXG5c8E2s1H8qzT6XZjZRYEuYEtPL1tni8pQcMAPWmzLnnpN6aqfzUl,financial aid,apple santos abungan,2022-01-31 21:55:00,2022.0,Neutral
DOLE,CMT012,U0012,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,how about dole bataan field office?,2022-01-21 18:00:00,2022.0,Negative
DOLE,CMT013,U0013,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,magandang gabi po ako po ay isang security guard.hingi lng po aq sna ng tulong n p dole ang aming agency s hindi tamang pagpapasahod lgi po delay ang sahod minsan po ay bale.at hanggang ngaun po ay wla p kminh nkukuhang  month .purse po b kminh magreklamo at ang kramihan s ksahan nmin ay malayong lugar at hindi po nmin kyang mahama sama kya po naisipan ang mag chat po s inyo tags bulacan po aq tnong q po kung purse kminh humingu ng tulong....slamat po...,2022-02-15 23:22:00,2022.0,Positive
DOLE,CMT014,U0014,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,"reply naman po kayo para alam ko po gagawin ko bukas, sana po mapansin nyo naman msg ko kasi mag reklamo po ako sa employer ko😔",2022-01-18 12:27:00,2022.0,Positive
DOLE,CMT015,U0015,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,hingi lang po ako ng tulong padole ko sana agency ko,2022-01-18 00:03:00,2022.0,Negative
DOLE,CMT016,U0016,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,bukas na po ba dole bulacan,2022-01-26 16:40:00,2022.0,Negative
DOLE,CMT017,U0017,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,pwede po ba mag punta sa office ng sena bukas? reply po kayo please para kung hindi po pwede alam ko at hindi po ako mapagod😔,2022-01-18 10:12:00,2022.0,Negative
DOLE,CMT018,U0018,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,ask ko lang po kung saan yung lugar ng sena para makapag file ng reklamo? from angeles city pampanga po ako. at kung pwede pong face to face akong pumunta sa sena office???,2022-01-17 16:38:00,2022.0,Negative
DOLE,CMT019,U0019,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,kelan po resume,2022-01-17 10:23:00,2022.0,Negative
DOLE,CMT020,U0020,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,sana naman may magreply kasi minemessage ang dole zambales wala man lang response dole pfo zambales,2022-01-22 22:46:00,2022.0,Positive
DOLE,CMT021,U0021,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,pwede po kay mag e punts sa dole,2022-01-20 16:51:00,2022.0,Negative
DOLE,CMT022,U0022,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,ako po mom c edison tags san minguel tarlac napilitan mag resign sa dahilan malayu na trabaho ko eh umuuwai pako ngaun na capas nag resign po ako nu g lunes.nga sabi po ng accountant ng boss naming wala ako makukuwa na seperation pay eh  year napo ako fun nag bago po sil kc mag mula bumisira s hardware main bright tibag ano po maya gagawin ko mom.sir,2022-01-20 16:46:00,2022.0,Positive
DOLE,CMT023,U0023,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,nag bago po kc ugali nila nag mula noong my bumisita na dole kala ng main bright hardware ng sumbong kami ano any sinasabi nila diko nga po alan no gagawin ko  year nako sun di ko alan kung pwede ako mg reklamo sa dole,,,Positive
DOLE,CMT024,U0024,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,kelan po resume?thanks,2022-01-17 09:43:00,2022.0,Negative
DOLE,CMT025,U0025,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,dole central luzon thank you po,2022-01-17 10:44:00,2022.0,Negative
DOLE,CMT026,U0026,https://www.facebook.com/dole.centralluzon/posts/pfbid0we1XuKMuDoRGfL8HktpRmAHeWwkQcpWS332XjaaBAuHmiW2xyF3Jwqjskf7JKeqal,health,stay safe po,2022-01-16 12:27:00,2022.0,Neutral
DOLE,CMT027,U0027,https://www.facebook.com/dole.centralluzon/posts/pfbid02wPp2fkM36nr5hHdGYCQo85QGEHQCBWSwc4pJKSByJ5W63zHSxfE1VaVcwvFUqUyDl,employment,"ask ko lang po kung saan yung lugar ng sena para makapag file ng reklamo?from angeles city pampanga po ako.at kung pwede pong face to face akong pumunta sa sena office???",2022-01-18 10:13:00,2022.0,Negative
DOLE,CMT028,U0028,https://www.facebook.com/dole.centralluzon/posts/pfbid02wPp2fkM36nr5hHdGYCQo85QGEHQCBWSwc4pJKSByJ5W63zHSxfE1VaVcwvFUqUyDl,employment,sesli,2022-01-11 19:40:00,2022.0,Negative
DOLE,CMT029,U0029,https://www.facebook.com/dole.centralluzon/posts/pfbid02wPp2fkM36nr5hHdGYCQo85QGEHQCBWSwc4pJKSByJ5W63zHSxfE1VaVcwvFUqUyDl,employment,how po?,2022-01-12 16:06:00,2022.0,Negative
DOLE,CMT030,U0030,https://www.facebook.com/dole.centralluzon/posts/pfbid02wPp2fkM36nr5hHdGYCQo85QGEHQCBWSwc4pJKSByJ5W63zHSxfE1VaVcwvFUqUyDl,employment,yrrag panes,2022-01-11 21:39:00,2022.0,Negative
DOLE,CMT031,U0031,https://www.facebook.com/dole.centralluzon/posts/pfbid02wPp2fkM36nr5hHdGYCQo85QGEHQCBWSwc4pJKSByJ5W63zHSxfE1VaVcwvFUqUyDl,employment,carmelli lichauco,2022-01-11 19:36:00,2022.0,Negative
DOLE,CMT032,U0032,https://www.facebook.com/dole.centralluzon/posts/pfbid02wPp2fkM36nr5hHdGYCQo85QGEHQCBWSwc4pJKSByJ5W63zHSxfE1VaVcwvFUqUyDl,employment,wla naman,2022-01-11 16:07:00,2022.0,Negative
DOLE,CMT033,U0033,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,is this still applicable?,2025-06-12 16:58:00,2025.0,Negative
DOLE,CMT034,U0034,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,puno na po inbox nung pang bulacan na email address,2025-06-13 05:05:00,2025.0,Negative
DOLE,CMT035,U0035,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"kabayan, basahin nyo po ulit at intindihin ang binasa, requirements at saan ipapasa nandyan na oh😬🤧",2022-01-11 13:12:00,2022.0,Positive
DOLE,CMT036,U0036,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,thony lertz papaano kung areglo ang nangyari sa kaso at nawalan din ako ng work saan ako magpapasa ng dokomento at ano ang ipipiprisinta ko sa sss.,2022-01-11 13:59:00,2022.0,Positive
DOLE,CMT037,U0037,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"jaime demolar noong ako po ay kunuha ng termination letter sa dole. kumuha po ako ng notoryo sa public attorney na nag sasaad na ako ay nawalan ng trabho at hindi tapos ang contrata dahil nag lay off ang pinag tratrabahuhan kong company dahil sa pandemic. yung na notaryo ng atty. ay ipapasa sa regional dole office para sila ang mag bigay ng termination certificate sayo po, samahan nyo rinyo ny government valid id.",2022-01-11 14:03:00,2022.0,Positive
DOLE,CMT038,U0038,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,thony lertz salamat po sa advice....gagawin ko po,2022-01-11 14:15:00,2022.0,Negative
DOLE,CMT039,U0039,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,sir...pwede po ba kumuha ng termination papers sa dole pag areglo ang nangyari sa kaso ko,2022-01-11 14:17:00,2022.0,Negative
DOLE,CMT040,U0040,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,sir tanung lang po panu po ipadole ang agency kasi po ayaw pong permahan ung clearance po namin para sa natitiranf sahod po namin kasi po na pull out napo ung agency namin sa dati po namin na duty kaya ngayon po di napo kame nag dduty kaya ayaw daw ping permahan ung clearance namin kasi daw po nag awoll daw po kame sir?,2022-02-11 19:23:00,2022.0,Negative
DOLE,CMT041,U0041,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"gud day po ask lng po if pano pag pinapipirma if payag n  days ang pasok s isang linggo, or mag resign n lng, kc po floating stats p rin until now",2022-01-11 16:48:00,2022.0,Negative
DOLE,CMT042,U0042,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,ask q lng po mga mam.. holiday ng dec ..no work no pay po aq ts sabado lingo wla pasok natapay po sa sabdo ang holiday..pero pumasok po friday..wla po ba bayad in para sa holiday.. salamat po sa sasagut..,2022-01-11 08:18:00,2022.0,Negative
DOLE,CMT043,U0043,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"kingzander lagco depende po sa company, pero samin po dati may bayad po basta pumasok ka ng before holiday and after holiday ( friday- saturday holiday - monday )",2022-01-14 23:44:00,2022.0,Negative
DOLE,CMT044,U0044,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,marlyn garcia intacto salamat po..pero sa dole po b kylangan with pay pag ganun khit no work no pay..,2022-01-15 06:14:00,2022.0,Negative
DOLE,CMT045,U0045,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,saan po ba papafill upan ang form? sa papanotoryohan po ba?,2022-01-30 17:04:00,2022.0,Negative
DOLE,CMT046,U0046,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,sir & mam afrove napoh sa sss ung inaplay kong unemployment benefit binigyan nanga poh ako ng reperense number ng sss,2022-05-04 13:47:00,2022.0,Negative
DOLE,CMT047,U0047,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,mgttanung lng po paano po ang ggwin kpag wlang notice of termination bgla nlng nilast day ng pasok tpos dpa bnbgay shud,2022-02-22 11:43:00,2022.0,Positive
DOLE,CMT048,U0048,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,sir & mam pano poh ipapasa ung s dole,2022-05-04 13:43:00,2022.0,Negative
DOLE,CMT049,U0049,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,hello po ano po yung transaction number na ilalagay?,2022-01-11 14:19:00,2022.0,Negative
DOLE,CMT050,U0050,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,what if ongoing pa ang case...hindi pa po tpos ang kaso mula ng ma terminate pero may trabaho n po..pwd po kya mag avail nyan,2022-01-11 16:19:00,2022.0,Negative
DOLE,CMT051,U0051,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"tpos ndi rin ipinasok ni employer sa,sss ung name nia at dnmn ngkaltas pero drin nghulog",2022-02-22 11:44:00,2022.0,Positive
DOLE,CMT052,U0052,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"panu po mag apply ng involuntary sa sss po,",2022-01-11 16:56:00,2022.0,Negative
DOLE,CMT053,U0053,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,nagsend ako aug  september ma wala pa din .. bakit po ganun ?,2022-09-02 15:03:00,2022.0,Positive
DOLE,CMT054,U0054,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,my tanong po ako pwede ko bang ipadole yung company na pinapasukan ko kasi last  dina po ako nakapasok tas po nahsasbi naman ako sa line leader namin last day po kasi namin nun  gang  ng dec dahil mag xmas namn di po ako nakapsok kasi na loblood po ako kas panggabi po kasi tas pinapasok kami bigla ng umaga wala po kami ganun tulog tas mga  ng dec po yata yun mag leleave sana ako dahil my balikan kami ng  at  tas sabi ng visor at leader namin january na lang dw ako bumalik tas january  po agad ako nakapasok dahil nilagnat sipon at ubo po kami ng pamilya namin tas nagpa check up po ako sa doctor sabi mag oa xray po ako tas yung nagpa xray ako sabi balikan ko dw ng  days yung result sinabi ko po yun sa leader namin tas poafter  days nakuha ko po yung result sabi ng doc pahinga pa dw ako ng  bago makapasok my med xray at fit to work n po ako nun tas january  sabi ko sa leader ko papasok n po ako tas sabi nya ok tas sabi ko po kong wat tym pasok namin sabi sa akin di daw ako pwede pumasok kasi holiday di pinalipas ko po yung holiday tas jan. nakapasok na ako tas yung magpapapirma n ako sa hr di n dw po ako pwede pumasok kasi awol n dw ako at terminated na tas binigyan agad ako ng clearance tas sabi ng leader namin pirmahan ko na dw po yung clearance nabigla po ako kaya di ako makapagsalita  years na ako sa company nayun tas regular po ako tas wala pa po g back pay kasi wala dw backpay sa company namin,2022-02-09 07:27:00,2022.0,Positive
DOLE,CMT055,U0055,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"magandang araw, ano po mga requirements ang kailangan ipasa? isa po sa natanggal at nawalan ng trabaho asawa ko.",2022-01-11 12:57:00,2022.0,Positive
DOLE,CMT056,U0056,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,"vhe nok kailangan po  hulog kay sss , termination letter din po",2022-01-12 09:50:00,2022.0,Negative
DOLE,CMT057,U0057,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,paano po kung nagsara na po ang company na pinapasukan same requirements din po ba? salamat po.,2022-01-11 13:41:00,2022.0,Negative
DOLE,CMT058,U0058,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,clark tarlac,2022-06-03 12:03:00,2022.0,Negative
DOLE,CMT059,U0059,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,mahirap asahan yan masasaktan ka lang😢😢😢😢😢,2022-01-11 21:32:00,2022.0,Positive
DOLE,CMT060,U0060,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,catrina capales mabilis lang po yan,2022-01-12 09:51:00,2022.0,Negative
DOLE,CMT061,U0061,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,jasmine faller-fuentes ma'am paano po ipasa manga requirements?,2024-12-09 19:45:00,2024.0,Negative
DOLE,CMT062,U0062,https://www.facebook.com/dole.centralluzon/posts/pfbid0aS5vksY3vMw5rXrg2ixKyPmmmebQnsfKKFcUsU7tqZyfPkELNebUEVXYoJcYKVFrl,livelihood,saan po ipasa,2022-01-11 13:11:00,2022.0,Negative
